Product_ID,Product_Category,Brand_Tier,Unit_Price,Discount_Percentage,Advertising_Spend,Competitor_Price,Store_Coverage_Count,Customer_Rating,Inventory_Availability_Percentage,Monthly_Units_Sold
PID000055,Apparel,Mid-range,45.08,22.6,6474.42,98.29,332,3.4,74.8,353
PID000056,Sports & Fitness,,83.56,13.7,2017.53,19.19,322,3.8,84.2,155
PID000057,Toys & Games,Budget,26.23,22.2,4608.99,85.02,512,4,82.8,475
PID000058,Toys & Games,Premium,44.33,7.9,997.41,68.72,135,4.7,89.9,186
PID000059,Electronics,Mid-range,242.07,12.5,3237.37,233.58,179,2.8,89.2,23
PID000060,Electronics,PREMIUM,264.66,5.1,9583.02,86.9,177,3.6,80.5,213
PID000061,Home & Kitchen,Premium,151.25,7.7,6375.81,130.26,150,4.1,92.1,416
PID000062,Toys & Games,Premium,51.15,,6158.11,47.39,196,4.3,95.1,335
PID000063,Apparel,Budget,26.04,24.9,,95.41,592,3.8,87.1,543
PID000064,Beauty & Personal Care,Premium,74.51,5.6,2910.92,16.15,140,3.8,88.6,108
PID000065,Home & Kitchen,Budget,28.21,40.3,3115.68,90.65,346,3.4,92.7,523
PID000066,Electronics,Mid-range,290.27,11.7,4014.44,219.33,341,3.6,81.6,243
PID000067,Grocery,Mid-range,30.79,16.5,1798.9,32.12,307,3.6,92.9,160
PID000068,Toys & Games,Premium,,,5489.55,53.51,123,4.5,132.8,378
PID000069,Furniture,Premium,796.42,16.3,1372.07,49,172,4.6,100,5
PID000070,Grocery,Budget,6.08,21.7,3708.25,41.08,415,3.5,87.5,304
PID000071,Beauty & Personal Care,Mid-range,18.2,20.6,3269.58,120.97,341,3.6,87.8,424
PID000072,,Budget,,23.9,1891.77,206.3,559,3.6,81,295
PID000073,Grocery,Budget,11.77,26.5,4751.04,46.76,220,3.7,94.6,403
PID000074,Sports & Fitness,Mid-range,31.84,13.3,3736.6,124.85,296,3.5,88.5,272
PID000075,Furniture,Mid-range,325.51,4.9,7623.88,49,363,4.2,85.3,329
PID000076,Apparel,Budget,17.4,7.3,2548.74,18.27,441,3.3,89,183
PID000077,Grocery,Premium,41.84,5.3,7622.27,42.32,207,4.5,74.5,371
PID000078,Furniture,Premium,274.6,5.4,,323.64,132,,73.2,276
PID000079,Home & Kitchen,Mid-range,84.74,23,6067.25,90.34,200,3.5,74.5,367
PID000080,Toys & Games,Premium,59.61,8.4,5044.93,16.6,112,4.4,94.8,244
PID000081,Grocery,Budget,19.84,5.2,1219.67,96.18,245,3.6,68.7,89
PID000082,Beauty & Personal Care,Mid-range,17.19,8.6,1519.59,57.54,253,4.1,83.4,219
PID000083,Apparel,Budget,27.84,24.2,2980.13,18.06,331,4.2,79.3,347
PID000084,Apparel,Budget,29.48,16.7,4972.99,76.82,402,3.5,75.2,381
PID000085,Toys & Games,Mid-range,45.27,18.1,3986.06,82.91,355,3.9,77,291
PID000086,Grocery,Mid-range,26.57,23.1,5433.11,113.22,155,4.2,79.5,393
PID000087,Electronics,Premium,240.14,5.4,5193.46,41.12,146,4.4,82.8,203
PID000088,Grocery,Budget,9.96,47.3,150,64.73,234,3.4,77.7,198
PID000089,Home & Kitchen,Premium,132.2,12.4,4603.19,46.05,73,3.5,94.4,121
PID000090,Grocery,Premium,22.2,4.7,4153.22,67.09,207,5,65,334
PID000091,Grocery,Budget,9.5,5.5,1595.72,78.04,503,3.3,74.2,242
PID000092,,Mid-range,32.19,18.4,6003.56,38.1,257,3.3,91.6,291
PID000093,Sports & Fitness,Premium,42.14,7.3,4747.68,68.36,204,4.3,82.4,341
PID000094,Grocery,Mid-range,9.95,6.2,5455.87,16.39,335,3.2,80.2,185
PID000095,Apparel,Premium,34.59,10.2,5317.68,21.44,77,4.4,79.7,243
PID000096,Toys & Games,Budgett,22.59,45.7,150,64.47,401,3,93.3,258
PID000097,Apparel,Mid-range,23.85,13.4,3885.47,43,169,4.2,95.5,365
PID000098,Electronics,Mid-range,132.46,12.4,5528.87,77.39,320,3.4,72.1,219
PID000099,Grocery,Budget,10.2,7.3,2845.99,86.53,430,3.1,90.6,276
PID000100,Toys & Games,Mid-range,27.36,17.7,4380.72,33.59,156,3.2,86.4,170
PID000101,Toys & Games,Budget,16.03,25.6,2336.07,81.2,255,3.6,74,241
PID000102,Sports & Fitness,Mid-range,42.38,14.1,2927.25,114.07,320,4,85.7,345
PID000103,Sports & Fitness,Mid-range,29.21,23.8,5858.47,62.99,355,3.9,100,568
PID000104,Grocery,MID-RANGE,19.98,9.2,,61.68,263,4.3,79.8,243
PID000105,Beauty & Personal Care,Mid-range,37.44,11.7,2599.86,93.19,206,3.6,94.2,252
PID000106,Apparel,Mid-range,28.57,11.4,2010.97,60.12,318,3.6,100,267
PID000107,Apparel,Budget,9.82,25.9,2071.44,66.01,411,3.7,78.7,359
PID000108,Sports & Fitness,Mid-range,70.06,2.1,2261.37,141.62,271,3.7,82.2,121
PID000109,Apparel,Mid-range,,20.4,3939.14,129.86,361,4.3,76,472
PID000110,Apparel,Budget,26.76,52.7,4137.12,59.97,457,3.9,84.6,638
PID000111,Toys & Games,Budget,16.04,8.6,1675.6,64.27,304,3.7,78.4,57
PID000112,Beauty & Personal Care,Premium,29.21,10.3,8085.2,82.75,192,5,83.8,642
PID000113,Electronics,Premium,353.84,2.4,7092.7,137.88,132,4.1,98.4,275
PID000114,Grocery,Budget,13.66,28.4,4012.19,126.58,484,3.3,90.5,482
PID000115,Grocery,Budget,10.99,29.8,3726.32,15.02,496,4.3,75.6,500
PID000116,toys & games,Budget,21.34,40.5,3608.63,16.6,465,3.1,81.9,320
PID000117,Beauty & Personal Care,Mid-range,33.23,16.4,4147.69,16.15,126,4.6,93.7,460
PID000118,Home & Kitchen,Mid-range,74.31,17.7,2360.21,76.14,325,3.8,89.3,340
PID000119,Apparrel,Premium,64.52,4.6,6317.57,24.46,110,4.6,75.1,218
PID000120,Sports & Fitness,Mid-range,22.45,23.6,2523.54,92.85,371,,61.9,264
PID000121,Toys & Games,Premium,33.29,4.8,4272.38,45.88,196,4.1,89,286
PID000122,Electronics,Premium,420.42,19.8,3577.28,158.54,168,4.4,96.7,299
PID000123,Sports & Fitness,Mid-range,54.29,17.2,5729.6,141.17,366,,85.9,603
PID000124,Apparel,Mid-range,41.95,5.9,,107.06,241,4.3,86.1,465
PID000125,Home & Kitchen,Budget,34.79,29.7,2335.28,72.46,405,3.6,,384
PID000126,Home & Kitchen,Premium,75.15,6.8,,143.64,124,4.7,71.6,516
PID000127,Furniture,Premium,399.92,4.4,3962.39,438.68,77,4.5,69.1,276
PID000128,Apparel,Budget,26.24,25.2,3264.38,38.26,397,3.9,88.3,385
PID000129,Sports & Fitness,Premium,85.19,12.3,1565.11,19.19,97,4.2,94,124
PID000130,Grocery,Premium,31.01,2.3,7244.28,62.35,164,4.1,100,384
PID000131,Apparel,Mid-range,44.01,19.1,1467.84,99.1,202,3.6,89.6,246
PID000132,Apparel,Budget,41.76,21.1,3966.82,93.13,598,3.5,85.4,482
PID000133,Apparel,Premium,63.97,5.8,4528.67,79.79,143,5,76.6,379
PID000134,Toys & Games,Mid-range,34.46,9.8,5081.28,48.19,371,3.9,86.2,371
PID000135,Beauty & Personal Care,Premeium,17.38,7.4,7121.13,16.15,106,4,81.7,389
PID000136,Apparel,Mid-range,52.21,13.4,1325.9,86.81,141,3.7,94.6,131
PID000137,Sports & Fitness,Mid-range,61.09,4.7,2911.58,150.63,274,3.7,95.3,277
PID000138,Furniture,Budget,159.83,17.4,2472.86,482.32,402,3.8,78.1,658
PID000139,Electronics,Mid-range,269.76,32,1463.35,222.22,133,3.3,91.2,128
PID000140,Electronics,Budget,65.01,21.2,6627.73,287.16,312,3.8,92.4,768
PID000141,Beauty & Personal Care,Mid-range,18.2,8.2,1916.79,16.15,137,3.8,80.8,18
PID000142,Electronics,Premium,426.98,10.2,3416.52,236.7,149,4.6,82.1,243
PID000143,Toys & Games,Premium,45.07,3.8,6282.86,63.8,155,,84.8,295
PID000144,Home & Kitchen,Premium,73.75,18.4,7063.51,149.68,161,4.8,90.4,691
PID000145,Apparel,Mid-range,40.78,14.4,2629.87,26.54,228,4.6,78.1,262
PID000146,Electronics,Mid-range,286,14.6,6268.13,182.66,370,3,72.7,251
PID000147,Sports & Fitness,Mid-range,92.43,6,3459.38,130.38,378,3.7,88.8,332
PID000148,Furniture,Premium,647.1,8.4,2518.28,451.94,107,5,100,393
PID000149,Toys & Games,Mid-range,29.9,11.6,3766.11,104.87,319,3.2,87.1,259
PID000150,Toys & Games,Mid-range,26.98,20.1,4531.35,103.31,220,3.8,84.2,354
PID000151,Furniture,Premium,470.44,14.5,7708.66,49,64,4.7,91,264
PID000152,Grocery,Mid-range,32.34,5,4602.27,59.37,213,4.6,82.8,441
PID000153,Grocery,Mid-range,13.06,31.7,3312.23,87.82,209,4.4,79.2,412
PID000154,Electronics,Premium,416.19,3.3,4202.5,417.11,199,4.1,93.7,494
PID000155,Home & Kitchen,Mid-range,57.98,31.5,6176.86,156.62,335,3.6,86.2,564
PID000156,Furniture,Mid-range,254.53,33.3,1324.98,298.98,348,3.7,83,357
PID000157,Home & Kitchen,Premium,120.11,7,6536.53,180.65,67,4.5,68.5,351
PID000158,Furniture,Premium,,6.6,3197.04,49,132,,61.9,5
PID000159,Electronics,Budget,113.8,18.6,3708.88,205.5,396,3.4,90.5,492
PID000160,Apparel,Budget,27.56,8.6,4771.61,124.54,514,2.9,89.8,410
PID000161,Apparel,Budget,40.64,3.1,3979.44,158.35,588,2.7,82.4,259
PID000162,Toys & Games,Budget,14.23,,8085.08,33.45,523,3.6,96.7,789
PID000163,Beauty & Personal Care,Mid-range,12.65,18.8,3539.38,32.52,154,3.9,75.8,146
PID000164,Home & Kitchen,Budget,38.17,50.2,4316.94,20.31,287,3.4,82.7,458
PID000165,Apparel,Budget,15.77,47.3,2622.72,49.44,259,3.8,85.6,460
PID000166,Home & Kitchen,Budget,31.79,7.1,4366.09,139.02,239,3,73.8,69
PID000167,Home & Kitchen,Budget,60.19,13.1,1666.34,46.35,432,3.2,85.9,146
PID000168,Apparel,Premium,48.17,11,5990.76,33.04,112,4,76.9,204
PID000169,Grocery,Premium,30.74,18,5749.32,53.67,208,3.9,69.5,253
PID000170,Apparel,Budget,16.94,47,2824.14,69.79,562,3.9,61.7,564
PID000171,Apparel,Mid-range,40.53,24.5,6171.66,127.95,194,4.2,64.3,370
PID000172,,Mid-range,26.94,20.7,5005.69,151.83,326,3.6,100,488
PID000173,Sports & Fitness,Premium,71.52,7.9,6282.42,88.25,130,3.6,90,297
PID000174,Toys & Games,Premium,57.72,8.5,2206.12,21.85,140,4.1,80.6,101
PID000175,Apparel,Premium,36.92,5.9,150,52.64,119,4.2,84,121
PID000176,Furniture,Mid-range,277.76,30,5066.45,335.42,261,3.5,99.7,597
PID000177,Apparel,Budget,10.11,9.1,2579.04,38.83,242,3.1,87.9,5
PID000178,Sports & Fitness,Mid-range,60.25,16.6,4612.68,126.48,308,4,75.6,371
PID000179,Grocery,Budget,11.23,44.3,3164.27,30.43,570,3.3,67.1,364
PID000180,Apparel,Budget,20.64,15.4,2415.01,58.21,545,3.4,98.9,449
PID000181,Home & Kitchen,Budget,30.28,28.7,3073.74,117.58,528,3.1,72.7,389
PID000182,Apparel,Mid-range,65.99,16.5,4388.12,26.81,152,4.1,94.8,320
PID000183,Toys & Games,Mid-range,43.74,14.3,3963.89,106.53,121,3.7,100,236
PID000184,Grocery,Budget,16.87,12.1,3750.36,67.84,355,3.5,82.6,201
PID000185,Electronics,Budget,129.16,22,1789.14,41.12,462,3,95.5,233
PID000186,Furniture,Premium,633.28,2.3,8034.71,151.11,158,4.5,70.7,105
PID000187,grocery,Mid-range,16.25,16.1,150,55.67,248,4,96.2,223
PID000188,Electronics,Mid-range,275.38,4.8,6716.95,41.12,137,4,88.5,141
PID000189,,Mid-range,21.5,17.2,3981.05,16.6,155,4.5,71.3,246
PID000190,Furniture,Premium,634.78,15.1,6695.71,162.47,,3.8,79.7,5
PID000191,Sports & Fitness,Mid-range,,30.3,3593.17,150.88,138,3.8,79.3,359
PID000192,Apparel,Mid-range,53.61,21.3,4588.37,161.23,208,3.7,87.6,463
PID000193,Apparel,Mid-range,65.18,7.1,4374.45,173.39,170,3.9,99.1,342
PID000194,Beauty & Personal Care,Premium,36.66,16.2,,39.28,212,4.1,92.8,350
PID000195,Grocery,Budget,17.54,21,2278.84,15.02,289,3.6,100,250
PID000196,Apparel,Budget,32.46,31.5,5903.56,110.07,509,4,79.4,759
PID000197,Toys & Games,Mid-range,36.67,11.9,150,48.02,164,3.7,93.9,113
PID000198,Electronics,Premium,584.38,0.7,9945.42,207.27,137,4.5,69.1,237
PID000199,Toys & Games,Budget,7.48,,2462.44,49.22,477,3.7,85.5,307
PID000200,Toys & Games,Mid-range,36.28,14.7,3409.56,55.77,340,4.1,86,313
PID000201,Electronics,Mid-range,340.29,23.5,4580.57,188.29,185,3.5,85.6,195
PID000202,Beauty & Personal Care,Mid-range,,10.4,2479.31,73.59,332,4.7,84.5,552
PID000203,Home & Kitchen,Mid-range,117.24,,5627.99,174.75,263,3.9,86.9,454
PID000204,Furniture,Mid-range,293.05,6,3504.71,230.11,202,3.9,100,293
PID000205,Sports & Fitness,Mid-range,83.21,6.6,2703.58,93.21,217,3.8,92.5,147
PID000206,Furniture,Mid-range,318.43,28.9,2970.8,109.51,153,4,83.8,234
PID000207,Apparel,Mid-range,58.48,5.8,1610.43,28.21,192,4.5,71.6,66
PID000208,Sports & Fitness,Premium,74.6,10.8,5487.91,117.43,169,4,100,298
PID000209,Home & Kitchen,Mid-range,60.4,3.6,4223.92,20.31,335,3.9,76.4,70
PID000210,Home & Kitchen,Budget,57.45,6,4067.16,97.6,323,3.7,79.9,326
PID000211,,Mid-range,39.82,10.8,3801.64,16.15,143,3.7,74.7,82
PID000212,Sports & Fitness,,113.84,11.2,4954.96,134.34,173,4.5,63.7,273
PID000213,Apparel,Budget,7.38,29,4139.48,53.75,350,4,82.7,372
PID000214,Grocery,Budget,9.71,20,1410.55,50.19,466,2.8,87.7,143
PID000215,Home & Kitchen,Mid-range,43.12,15.5,7062.73,138.47,159,3.2,87.5,305
PID000216,Furniture,Mid-range,338.44,13.1,6365.11,193.17,222,3.6,81.7,278
PID000217,Beauty & Personal Care,Premium,41.1,8.6,1935.15,17.09,,4.9,81,408
PID000218,Furniture,Mid-range,300.79,19.6,5175.54,77.89,344,4.1,100,475
PID000219,Beauty & Personal Care,Budget,17.75,13.8,4985.49,63.39,441,4.1,93.2,616
PID000220,Grocery,Budget,4.4,7.6,3304.92,24.69,586,3,78.6,148
PID000221,Beauty & Personal Care,Mid-range,32.84,15.4,5123.6,54.75,344,3.4,92.7,429
PID000222,Apparel,Premium,93.01,,5428.81,72.86,88,3.8,95.9,284
PID000223,Furniture,Premium,686.76,10.6,5676.38,231.38,200,3.5,91.1,66
PID000224,Apparel,Budget,40.32,37.1,771.41,70.87,272,3.1,76.4,62
PID000225,,Premium,363.74,13.1,5849.4,202.52,74,3.4,100,212
PID000226,Apparel,Premium,83.88,3.4,7066.61,34.21,216,4.3,96.1,440
PID000227,Beauty & Personal Care,Mid-range,24.32,37.5,3585.73,50.12,218,4.6,87,647
PID000228,Home & Kitchen,Mid-range,60.41,8.6,5292.81,64.53,186,3.4,89.2,228
PID000229,Apparel,Mid-range,34.43,22.7,3366.4,21.96,306,3.2,81.7,217
PID000230,Home & Kitchen,Budgett,33.37,31.8,4317.33,159.76,325,3.3,95.6,554
PID000231,Grocery,Premium,28.77,0.7,3143.24,22.96,121,3.8,99.1,72
PID000232,Home & Kitchen,Mid-range,67.29,17.3,3239.58,104.54,251,3.4,76,130
PID000233,Furniture,Premium,560.98,10.3,6913.65,502.16,114,3.8,86.8,423
PID000234,Beauty & Personal Care,Budget,19.11,13.8,3369.01,95,344,3.1,99.2,353
PID000235,Beauty & Personal Care,Premium,40.15,12.6,5744.74,34.7,181,3.7,85.6,270
PID000236,Home & Kitchen,Budget,60.44,16.9,3233.16,51.19,233,3.6,77.8,205
PID000237,Apparel,Budget,29.64,14.5,3160.71,90.96,261,3.6,85.7,233
PID000238,Toys & Games,Budget,11.79,29.6,2230.08,96.88,518,4.2,91.7,540
PID000239,Home & Kitchen,Budget,20.78,12,2906.35,47.3,323,3.2,99,168
PID000240,Furniture,Budget,284.44,9,2997.24,49,574,2.8,77.1,5
PID000241,Grocery,Mid-range,7.19,28.1,3187.2,70.43,124,4,97.1,350
PID000242,Beauty & Personal Care,,42.82,1.8,2633.85,73.87,150,4.7,75.2,54
PID000243,Beauty & Personal Care,Mid-range,31.59,7.3,725.38,74.92,330,4.3,96.7,345
PID000244,Electronics,Budget,186.59,42.8,3875.33,,389,3.3,78.6,673
PID000245,Sports & Fitness,Mid-range,81.44,35.2,4122.14,108.16,272,,86.1,511
PID000246,Electronics,Mid-range,256.43,26.2,6480.86,225.1,181,3.6,82.4,483
PID000247,Apparel,Mid-range,39.54,12.7,2490.47,18.06,179,4.1,94.2,231
PID000248,Beauty & Personal Care,Mid-range,15.64,8.1,2220.56,48.4,183,3.6,96.9,122
PID000249,Toys & Games,Budget,12.75,26.7,2223.53,118.98,463,3.5,92.2,381
PID000250,Furniture,Premium,673.65,15.5,9036.42,361.62,155,3.9,69.7,298
PID000251,Grocery,Budget,15.11,26.3,3704.36,77,519,3.6,76.3,475
PID000252,Furniture,Budget,154.85,11.1,3630.86,195.4,284,4.3,75.6,356
PID000253,Toys & Games,Budget,12.22,16.6,3429.99,44.82,316,2.7,85.3,117
PID000254,Furniture,Budget,269.95,35.8,3658.81,268.06,365,3,88,348
PID000255,Electronics,Mid-range,201.58,22.3,2362.95,41.12,250,3.5,63.9,5
PID000256,Toys & Games,Mid-range,26.62,15.8,2131.78,31.87,173,3.2,90.4,141
PID000257,Beauty & Personal Care,Premium,42.47,8.5,2330.37,46.96,89,3.9,74.2,5
PID000258,Electronics,Mid-range,342.03,39.6,5123.55,89.32,241,4.5,96.5,614
PID000259,Sports & Fitness,Premium,109.02,4.1,4040.14,100.49,108,4.5,73.7,193
PID000260,Toys & Games,Mid-range,33.49,11.8,3244.85,16.6,182,3.8,77.6,125
PID000261,Furniture,Budget,250.23,50.8,5395.49,100.98,285,4,96.6,698
PID000262,Electronics,Budget,113.03,36.9,4460.73,97.77,386,3.9,100,725
PID000263,Electronics,Premium,456.12,5,5368.88,41.12,213,4.4,83.6,67
PID000264,Beauty & Personal Care,Mid-range,28.15,24.3,6316.25,79.06,207,3.9,84.6,487
PID000265,Home & Kitchen,Mid-range,38.89,8.4,2509.15,80.03,335,3.8,87,194
PID000266,,Mid-range,63.46,36.1,2256.09,140.23,325,3.6,74.4,401
PID000267,Toys & Games,Premium,49.74,18.6,8646.2,40.55,72,4.4,100,520
PID000268,Electronics,Mid-range,298.63,20,2943.57,149.35,174,3.5,100,214
PID000269,Toys & Games,Budget,24.93,38,2144.04,81.1,315,3.4,85.4,288
PID000270,Sports & Fitness,Mid-range,52.01,27.1,2465.38,19.19,368,4.3,87.9,343
PID000271,Toys & Games,Mid-range,31.57,27.4,3554.72,81.43,192,4,76.1,241
PID000272,Grocery,Budget,5.75,5.5,3320.32,90.78,246,3.7,86.4,201
PID000273,Electronics,Budget,121.6,26.4,2230.39,161.22,283,3.6,75.9,303
PID000274,Beauty & Personal Care,Mid-range,19.02,14.6,5267.03,53.72,162,4.1,83,335
PID000275,Beauty & Personal Care,Budget,22.21,25.4,3340.02,83.13,429,3.3,68.7,341
PID000276,Grocery,Budget,23.07,12.8,3287.4,115.9,293,4.3,74.9,360
PID000277,Home & Kitchen,Mid-range,71.04,14,1906.18,22.92,334,3.9,91.9,217
PID000278,Toys & Games,Budget,,22.1,4966.15,72.58,536,3.3,,364
PID000279,Beauty & Personal Care,Premium,45.52,3.4,2203.23,61.01,122,4.5,87.4,213
PID000280,Grocery,Mid-range,24.8,8.5,3938.83,81.43,,3.8,65.6,153
PID000281,Beauty & Personal Care,Mid-range,10.8,17.2,5085.7,78.85,240,4,100,726
PID000282,Sports & Fitness,Budget,40.05,43.2,3416.36,134.23,313,2.6,95.5,463
PID000283,Apparel,Mid-range,52.44,3.4,5948.28,18.06,369,3.7,81,238
PID000284,Grocery,Mid-range,19.01,12.7,2667.49,40.08,203,4.1,89.3,331
PID000285,Furniture,Mid-range,391.03,14.8,2364.54,298.14,186,4.8,70.8,247
PID000286,Apparel,Mid-range,72.95,26,5079.39,33.9,257,3.8,89.8,316
PID000287,,Budget,7.23,10.3,5316.24,100.9,265,3.2,82.8,254
PID000288,Home & Kitchen,Budget,49.17,2.5,5926.28,25.85,231,3.5,66.9,35
PID000289,Sports & Fitness,Budget,14.9,40.8,2161.47,142.71,493,3.5,81.3,518
PID000290,Home & Kitchen,Mid-range,43.21,13.7,3030.47,139.92,129,3.8,80.3,201
PID000291,Furniture,Mid-range,147.71,6,1522.89,211.34,228,4,73.7,158
PID000292,Toys & Games,Budget,23.42,23.6,5259.6,153.53,445,3.3,87.2,440
PID000293,Electronics,Mid-range,244.48,5.6,2774.57,433.34,200,3.8,67,262
PID000294,Electronics,Mid-range,279.37,17.4,5456.2,276.29,296,3.8,81.9,459
PID000295,Home & Kitchen,Mid-range,58.67,19.1,2843.84,80.09,252,4,94.3,438
PID000296,Apparel,Mid-range,67.67,3.6,4144.66,100.02,313,4,100,305
PID000297,Grocery,Budget,14.36,25.5,2709.67,31.86,320,,89.2,358
PID000298,Home & Kitchen,Budget,40.81,21.3,2191.84,20.31,261,4,84.8,234
PID000299,,Mid-range,40.37,10.4,5569.38,47.55,354,3.6,100,409
PID000300,Grocery,Mid-range,9.45,5.4,2853.32,39.21,300,4,78.4,234
PID000301,Beauty & Personal Care,Budget,23.97,25.1,4748.54,61.74,547,3.7,78.3,605
PID000302,Toys & Games,Budget,12.69,11.7,2238.84,,502,3.6,90.3,418
PID000303,Grocery,Mid-range,13.37,33.9,2604.28,59.36,199,3.7,88,335
PID000304,Grocery,Budget,15.63,48.8,150,34.33,444,3.9,92.9,418
PID000305,Sports & Fitness,Budget,38.68,35.1,1619.49,108.15,427,3.8,100,555
PID000306,Beauty & Personal Care,Mid-range,27.65,11.8,5369.69,44.39,264,4.1,77.8,472
PID000307,Home & Kitchen,Budget,27.34,8.8,2452.44,45.39,395,2.8,87,58
PID000308,Electronics,Budget,134.66,6.7,2964.88,110.17,257,3.8,84.9,97
PID000309,Apparel,Budget,39.15,21.9,,18.06,397,3.5,100,378
PID000310,Home & Kitchen,Mid-range,112.91,1.7,6945.92,64.26,213,3.5,94,255
PID000311,Toys & Games,Budget,9.1,4.8,2500.71,48.52,497,3.6,79,193
